51.523524,-0.213736
51.483253000000005,-0.185496
51.506541999999996,-0.21468800000000002
51.502195,-0.18921
51.487799,-0.19453399999999998
51.499608,-0.16165
51.495745,-0.185
51.495356,-0.183143
51.522364,-0.208447
51.523752,-0.216898
51.48357,-0.17698599999999998
51.514915,-0.221279
51.480177000000005,-0.178561
51.50806,-0.202236
51.486968,-0.169936
51.494801,-0.19958800000000002
51.501373,-0.182615
51.508882,-0.197159
51.517962,-0.220583
51.516658,-0.205789
51.501169,-0.192709
51.482141,-0.18338
51.509333000000005,-0.197286
51.516805,-0.20953000000000002
51.490990999999994,-0.197433
51.484743,-0.182988
51.497138,-0.159012
51.489535,-0.155861
51.501663,-0.160847
51.496842,-0.16882
51.496927,-0.16852899999999998
51.51675,-0.205929
51.517796000000004,-0.215545
51.485605,-0.186411
51.484087,-0.164002
51.510028999999996,-0.20749
51.502169,-0.158665
51.48448,-0.18343099999999998
51.50442,-0.193589
51.499176,-0.174346
51.485757,-0.150108
51.480371999999996,-0.18532200000000001
51.482076,-0.17344500000000002
51.504764,-0.216054
51.484361,-0.17580199999999999
51.496349,-0.183391
51.484972,-0.174625
51.51502,-0.204556
51.492563,-0.20025199999999999
51.518569,-0.20729899999999998
51.484962,-0.18557200000000001
51.487021,-0.179153
51.484196999999995,-0.15953299999999998
51.494651,-0.195704
51.493396999999995,-0.161323
51.490863,-0.177559
51.483332,-0.167489
51.484518,-0.157072
51.487715,-0.19497
51.518171,-0.21063
51.522071999999994,-0.212927
51.497801,-0.166909
51.494473,-0.195855
51.481575,-0.181674
51.513027,-0.197716
51.51951,-0.22182
51.484709,-0.175068
51.492402,-0.172456
51.520903999999994,-0.207063
51.525794,-0.215232
51.495721,-0.17189100000000002
51.505181,-0.213877
51.508488,-0.20077799999999998
51.509377,-0.194258
51.508955,-0.213729
51.494902,-0.182872
51.493739,-0.16592
51.496604999999995,-0.20585599999999998
51.517796000000004,-0.215545
51.515578999999995,-0.205831
51.486613,-0.187667
51.515838,-0.216919
51.50012,-0.1599
51.513262,-0.20721900000000001
51.492563,-0.20025199999999999
51.497048,-0.15901500000000002
51.491632,-0.192366
51.495658,-0.173622
51.486376,-0.160886
51.492387,-0.200547
51.497013,-0.174
51.507267999999996,-0.215092
51.494065,-0.17527
51.489787,-0.195176
51.486854,-0.18578499999999998
51.499010999999996,-0.19855799999999998
51.484482,-0.183575
51.497015999999995,-0.197484
51.500077000000005,-0.162928
51.500605,-0.162186
51.488611999999996,-0.16583699999999998
51.494624,-0.193976
51.491572999999995,-0.159668
51.484087,-0.164002
51.499787,-0.196366
51.520075,-0.21170799999999998
51.48492,-0.182837
51.488868,-0.164963
51.499459,-0.163673
51.493045,-0.173294
51.505512,-0.21199
51.510533,-0.199256
51.508555,-0.19933399999999998
51.526917,-0.21216100000000002
51.495658,-0.173622
51.496741,-0.173867
51.496399,-0.16927
51.483345,-0.185636
51.507629,-0.209314
51.492652,-0.200249
51.503037,-0.214825
51.516171,-0.209267
51.517749,-0.20661100000000002
51.49566,-0.173766
51.513059000000005,-0.21155100000000002
51.515007000000004,-0.221419
51.514323,-0.20011500000000002
51.500073,-0.16264
51.495503,-0.175213
51.491356,-0.191945
51.501672,-0.184476
51.4936,-0.180043
51.496942,-0.186825
51.490438,-0.19659100000000002
51.486671,-0.179743
51.485733,-0.188854
51.481152,-0.183419
51.481997,-0.18569000000000002
51.481826,-0.18051199999999998
51.492488,-0.166402
51.494651,-0.195704
51.518471000000005,-0.218546
51.517202000000005,-0.217875
51.495084000000006,-0.183009
51.513985,-0.20157
51.494076,-0.17599
51.508632,-0.198466
51.497898,-0.202203
51.485265999999996,-0.18195899999999998
51.485757,-0.150108
51.501518,-0.191975
51.502134000000005,-0.19108599999999998
51.510086,-0.187745
51.501917,-0.159828
51.496423,-0.205719
51.49296,-0.167824
51.523977,-0.214006
51.501659000000004,-0.16055899999999998
51.489128,-0.158614
